listing_id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,min_nights,total_reviews,avg_rating,price
488,Union Station,1/1/2012,F,,1,,4,1.5 baths,2,2,31,9,4.75,199
489,Shaw,8/17/2016,F,,2,Entire home/apt,10,1.5 baths,3,5,31,90,4.55,300
491,Shaw,8/25/2016,F,,1,Private room,2,1 private bath,1,2,31,32,4.83,80
492,Dupont Circle,4/13/2014,T,0.99,1,Entire home/apt,4,1 bath,2,2,1,415,4.92,228
494,Shaw,6/19/2013,F,,3,Entire home/apt,6,2 baths,3,3,31,51,4.96,170
496,Capitol Hill,11/8/2015,T,0.99,1,Entire home/apt,4,1 bath,1,1,3,307,4.89,115
499,Capitol Hill,9/15/2016,T,1,2,Entire home/apt,12,4 baths,5,7,2,73,4.89,950
500,Union Station,7/28/2016,F,0.87,1,Entire home/apt,4,1 bath,1,2,4,211,4.98,171
501,Union Station,9/26/2014,F,,2,Entire home/apt,5,1 bath,1,1,31,6,4.83,95
502,Dupont Circle,9/21/2016,F,,1,Entire home/apt,2,1 bath,,1,31,1,5,79
504,Dupont Circle,12/30/2013,F,,1,Entire home/apt,2,1 bath,,1,31,3,5,73
505,Foggy Bottom,9/23/2016,F,,2,Entire home/apt,3,1 bath,1,1,31,231,4.73,184
509,Capitol Hill,8/31/2015,T,0.94,1,Entire home/apt,2,1 bath,,1,2,204,4.96,201
510,Capitol Hill,9/27/2016,F,,1,Entire home/apt,4,1 bath,2,2,31,42,5,108
516,Union Station,9/2/2013,F,1,14,Entire home/apt,4,1 bath,1,2,2,251,4.78,120
517,Dupont Circle,10/20/2015,T,1,1,Entire home/apt,2,1 bath,,1,2,216,4.87,114
521,Shaw,10/15/2015,T,0.98,284,Entire home/apt,6,2 baths,2,3,31,197,4.91,331
522,Union Station,10/10/2015,F,,1,Entire home/apt,4,1.5 baths,3,3,31,2,5,325
523,Dupont Circle,3/25/2016,F,,1,Entire home/apt,4,2 baths,1,2,2,49,4.96,130
524,Union Station,7/6/2016,F,,1,Entire home/apt,8,2 baths,4,3,31,1,5,225
525,Capitol Hill,8/6/2015,T,1,1,Entire home/apt,3,1 bath,1,1,1,244,4.9,127
528,Shaw,10/17/2016,T,0.9,2,Entire home/apt,3,1 bath,1,1,2,45,4.98,246
529,Capitol Hill,1/13/2016,T,0.99,1,Entire home/apt,4,1 bath,1,1,2,211,4.89,80
531,Union Station,10/22/2015,F,1,1,Entire home/apt,1,1 bath,1,1,60,5,4.8,80
532,Dupont Circle,5/23/2016,F,0.88,1,Entire home/apt,4,2.5 baths,2,4,2,35,4.83,795
534,Capitol Hill,10/24/2016,T,0.93,1,Entire home/apt,4,1 bath,1,1,2,135,4.93,159
535,Union Station,4/11/2014,T,0.96,1,Entire home/apt,3,1 bath,1,2,2,184,4.91,146
536,Capitol Hill,8/13/2013,F,,1,Entire home/apt,2,1 bath,1,1,31,18,5,110
538,Capitol Hill,11/2/2016,F,,3,Entire home/apt,8,2 baths,3,3,31,43,4.83,199
539,Capitol Hill,11/2/2016,F,,3,Entire home/apt,6,1 bath,2,2,31,55,4.7,162
542,Capitol Hill,8/18/2015,T,0.95,1,Entire home/apt,4,1 bath,1,1,1,111,4.93,111
543,Union Station,5/31/2014,F,1,2,Entire home/apt,3,1 bath,1,2,2,268,4.71,118
545,Union Station,1/7/2015,T,1,1,Entire home/apt,2,1 bath,1,1,1,104,4.87,74
546,Capitol Hill,1/11/2014,T,0.99,4,Entire home/apt,4,1 bath,1,2,2,260,4.88,147
547,Capitol Hill,6/19/2012,F,0.94,1,Entire home/apt,2,1 bath,1,1,2,68,4.81,106
548,Capitol Hill,7/5/2013,T,1,2,Entire home/apt,3,1 bath,1,2,35,41,4.98,113
550,Shaw,6/20/2011,F,1,2,Entire home/apt,8,2.5 baths,4,4,31,72,4.83,652
552,Georgetown,11/29/2016,T,0.73,11,Private room,2,1 private bath,1,1,1,12,4.83,135
555,Georgetown,11/29/2016,T,0.73,11,Private room,2,1 private bath,,1,1,13,4.85,135
556,Georgetown,11/29/2016,T,0.73,11,Private room,2,1 bath,,1,1,1,5,149
557,Shaw,12/2/2016,F,,1,Entire home/apt,5,1 bath,2,2,90,121,4.79,130
558,Georgetown,11/29/2016,T,0.73,11,Private room,2,1 bath,1,1,1,7,4.43,179
560,Union Station,5/13/2013,F,,2,Entire home/apt,5,1 bath,1,2,31,1,5,500
562,Union Station,5/29/2012,T,1,4,Entire home/apt,4,1 bath,1,2,1,485,4.93,121
563,Capitol Hill,2/17/2015,F,1,1,Entire home/apt,4,1 bath,1,2,31,238,4.97,125
564,Georgetown,11/29/2016,T,0.73,11,Private room,2,1 bath,1,1,3,5,4.8,125
565,Georgetown,11/29/2016,T,0.73,11,Private room,2,1 bath,1,1,3,4,5,149
566,Georgetown,11/29/2016,T,0.73,11,Private room,2,1 bath,1,1,1,3,4.67,159
567,Georgetown,11/29/2016,T,0.73,11,Private room,2,1 private bath,1,1,1,7,4.71,165
568,Georgetown,11/29/2016,T,0.73,11,Private room,3,1 shared bath,1,2,2,7,4.57,175
572,Union Station,10/15/2015,T,0.98,284,Entire home/apt,8,2.5 baths,3,5,31,162,4.95,678
574,Capitol Hill,1/10/2016,T,1,10,Entire home/apt,4,1 bath,1,1,2,96,4.74,188
575,Georgetown,9/16/2014,F,0.93,2,Entire home/apt,3,1 bath,2,2,1,121,4.69,249
578,Shaw,7/25/2012,F,,1,Entire home/apt,2,1 bath,2,1,31,1,5,210
585,Dupont Circle,7/29/2015,F,0.99,339,Private room,2,1 private bath,1,1,1,397,4.71,125
586,Capitol Hill,12/17/2016,F,0.64,1,Entire home/apt,4,1 bath,1,3,4,100,4.98,250
587,Capitol Hill,12/17/2016,F,,1,Entire home/apt,5,2 baths,3,3,31,3,5,250
590,Dupont Circle,4/21/2013,F,,2,Entire home/apt,3,1 bath,1,1,31,9,4.25,133
594,Capitol Hill,7/19/2014,T,1,9,Entire home/apt,9,2 baths,3,6,31,392,4.94,278
595,Union Station,12/21/2016,F,1,1,Entire home/apt,6,2.5 baths,3,4,31,152,4.8,340
597,Union Station,12/21/2016,F,,6,Entire home/apt,5,1 bath,2,3,31,35,4.24,175
598,Shaw,3/10/2014,F,,1,Entire home/apt,3,1.5 baths,1,1,31,5,5,175
600,Shaw,10/15/2015,T,0.98,284,Entire home/apt,4,1 bath,1,2,2,174,4.91,274
601,Union Station,6/28/2015,T,0.96,1,Entire home/apt,2,1 bath,1,1,2,106,4.93,140
605,Shaw,12/28/2016,F,,1,Entire home/apt,4,2.5 baths,2,2,31,7,4,499
606,Union Station,5/30/2013,F,,2,Entire home/apt,5,1.5 baths,2,2,4,6,5,200
610,Capitol Hill,11/22/2014,T,1,5,Entire home/apt,4,1 bath,1,2,30,299,4.89,100
612,Union Station,3/12/2013,F,1,1,Entire home/apt,2,1 bath,,1,2,8,4.75,205
614,Union Station,10/8/2013,T,1,2,Entire home/apt,3,1 bath,1,1,1,418,4.84,89
616,Union Station,10/15/2015,T,0.98,284,Entire home/apt,6,1 bath,2,3,31,143,4.76,280
619,Shaw,11/18/2015,F,,3,Entire home/apt,5,1 bath,2,2,31,10,4.8,120
621,Capitol Hill,9/15/2016,T,1,2,Entire home/apt,4,1 bath,2,1,3,65,5,200
622,Union Station,1/12/2014,T,1,1,Entire home/apt,4,1 bath,1,1,1,303,4.92,126
623,Foggy Bottom,3/5/2012,F,1,23,Entire home/apt,4,1 bath,,2,31,250,4.76,400
626,Union Station,5/11/2015,F,,2,Entire home/apt,4,2.5 baths,3,3,120,15,5,300
627,Capitol Hill,5/19/2016,F,1,1,Entire home/apt,2,1 bath,1,2,7,161,4.88,175
628,Dupont Circle,7/27/2015,F,,1,Entire home/apt,2,1 bath,,1,31,12,4.5,94
629,Capitol Hill,11/2/2016,F,,3,Entire home/apt,6,1 bath,1,1,31,37,4.73,108
631,Foggy Bottom,10/28/2014,F,,1,Entire home/apt,2,1 bath,1,1,91,76,4.99,162
632,Union Station,9/23/2014,T,1,1,Entire home/apt,4,1 bath,1,2,2,184,4.98,180
633,Georgetown,12/31/2008,F,0.89,3,Entire home/apt,2,1 bath,1,1,5,149,4.79,97
636,Union Station,10/14/2015,F,1,169,Entire home/apt,4,1 bath,1,2,3,126,4.61,151
637,Dupont Circle,1/13/2017,F,1,7,Entire home/apt,5,2 baths,2,2,31,42,4.9,400
638,Union Station,2/11/2011,F,0.75,1,Entire home/apt,4,1.5 baths,2,2,3,29,4.97,250
639,Capitol Hill,1/6/2016,T,1,2,Entire home/apt,2,1 bath,1,1,2,97,4.92,199
640,Georgetown,1/16/2017,F,,1,Entire home/apt,3,1.5 baths,2,2,31,28,5,175
642,Dupont Circle,7/18/2012,F,1,6,Entire home/apt,3,1 bath,1,1,31,99,4.76,126
643,Dupont Circle,6/4/2013,F,,3,Entire home/apt,4,1 bath,,2,31,6,4.8,100
645,Union Station,5/30/2016,F,,1,Entire home/apt,4,1 bath,2,2,31,19,4.95,200
646,Shaw,2/10/2016,F,1,6,Entire home/apt,5,1.5 baths,2,3,31,10,4.78,450
647,Dupont Circle,6/15/2015,T,0.77,4,Entire home/apt,14,4 baths,6,6,3,52,4.94,928
649,Capitol Hill,1/21/2017,T,1,1,Entire home/apt,2,1 bath,1,2,2,442,4.98,149
652,Shaw,4/22/2014,F,,4,Entire home/apt,2,1 bath,1,1,31,7,5,149
654,Shaw,6/11/2014,T,0.92,157,Entire home/apt,5,1.5 baths,2,2,30,9,4.67,253
655,Georgetown,4/11/2011,T,0.99,6,Entire home/apt,2,1 bath,1,1,2,252,4.98,145
663,Union Station,8/18/2013,F,0.99,2,Entire home/apt,4,1 bath,1,1,2,329,4.87,135
664,Union Station,8/29/2013,T,1,1,Entire home/apt,2,1 bath,1,1,2,534,4.93,105
667,Georgetown,11/23/2011,T,1,3,Entire home/apt,1,1 bath,1,1,4,17,4.75,115
668,Foggy Bottom,11/1/2014,F,,1,Entire home/apt,4,1 bath,2,2,31,256,4.91,149
670,Dupont Circle,4/26/2014,F,,1,Entire home/apt,2,1 bath,,1,31,9,4.71,60
671,Union Station,7/15/2014,F,,2,Entire home/apt,6,2.5 baths,3,4,31,3,5,250
675,Georgetown,1/25/2014,T,1,1,Entire home/apt,4,1.5 baths,2,2,5,232,4.85,171
680,Foggy Bottom,12/9/2015,F,,5,,2,1 shared bath,,1,31,134,4.78,50
683,Dupont Circle,3/10/2017,F,1,1,Entire home/apt,4,1 bath,1,2,31,41,4.49,95
689,Foggy Bottom,9/4/2012,F,0.78,6,Entire home/apt,4,1 bath,,2,31,261,4.78,77
695,Capitol Hill,9/5/2012,T,1,1,Entire home/apt,2,1 bath,,1,1,218,4.95,162
697,Union Station,9/24/2012,T,1,2,Entire home/apt,6,3.5 baths,4,4,3,60,4.97,614
706,Union Station,8/17/2014,T,1,1,Entire home/apt,3,1 bath,1,2,1,249,4.87,138
707,Union Station,9/23/2016,T,,27,Entire home/apt,4,1 bath,1,2,2,96,4.88,179
708,Union Station,4/11/2013,T,0.94,3,Entire home/apt,4,1.5 baths,2,3,2,19,4.83,249
709,Union Station,4/11/2013,T,0.94,3,Entire home/apt,2,1 bath,,2,2,152,4.53,74
710,Shaw,2/26/2013,T,1,8,Entire home/apt,4,1 bath,1,2,2,43,4.79,150
711,Capitol Hill,7/19/2012,F,0,2,Entire home/apt,4,2.5 baths,2,3,7,3,5,210
715,Dupont Circle,7/29/2015,F,0.99,339,,2,1 private bath,,1,1,390,4.77,120
716,Dupont Circle,1/13/2017,F,1,7,Entire home/apt,2,1 bath,,1,31,129,4.81,172
717,Dupont Circle,1/13/2017,F,1,7,Entire home/apt,2,1.5 baths,1,1,31,94,4.73,132
718,Foggy Bottom,9/14/2015,F,0.92,6,Entire home/apt,2,1 bath,1,1,31,290,4.68,204
719,Capitol Hill,5/11/2016,T,0.97,8,Entire home/apt,5,1 bath,1,3,2,18,4.94,250
722,Union Station,6/21/2016,F,0.43,2,Entire home/apt,5,2 baths,3,3,31,3,5,115
723,Dupont Circle,1/13/2017,F,1,7,Entire home/apt,4,2.5 baths,2,2,31,157,4.9,280
725,Union Station,4/1/2015,F,,1,Entire home/apt,4,1.5 baths,1,2,31,4,5,120
727,Capitol Hill,4/29/2017,T,1,2,Entire home/apt,3,1 bath,,2,2,243,4.84,128
729,Union Station,4/11/2013,T,0.94,3,Entire home/apt,6,2.5 baths,3,3,2,80,4.75,386
733,Dupont Circle,7/29/2015,F,0.99,339,Private room,2,1 private bath,,1,1,371,4.78,116
735,Georgetown,5/16/2015,F,,2,Entire home/apt,2,1 bath,1,1,31,79,4.75,105
736,Shaw,5/11/2017,T,0.98,1,Entire home/apt,5,1 bath,1,2,1,601,4.89,165
739,Union Station,5/15/2017,F,,1,Entire home/apt,4,1.5 baths,2,2,31,13,5,1200
740,Georgetown,9/14/2014,T,0.95,1,Entire home/apt,3,1.5 baths,2,1,4,52,4.88,343
741,Dupont Circle,3/11/2015,T,1,4,Entire home/apt,3,1 bath,1,1,1,110,4.78,217
742,Capitol Hill,7/20/2016,T,0.99,1,Entire home/apt,3,1 bath,1,1,2,324,4.87,72
745,Union Station,3/31/2014,T,0.99,9,Entire home/apt,6,1 bath,2,2,2,185,4.67,205
749,Capitol Hill,9/26/2015,F,,1,Shared room,1,1 shared bath,,1,31,13,4.92,58
751,Union Station,8/27/2012,T,0.98,1,Entire home/apt,5,1.5 baths,1,2,3,130,5,140
752,Union Station,3/31/2014,T,0.99,9,Entire home/apt,6,1 bath,2,2,2,144,4.81,168
756,Georgetown,6/4/2017,F,,1,Entire home/apt,6,1.5 baths,2,4,31,82,4.48,239
757,Dupont Circle,4/27/2016,F,0.81,44,Entire home/apt,2,1 bath,1,1,31,61,4.87,90
758,Dupont Circle,7/29/2015,F,0.99,339,Private room,2,1 private bath,1,1,1,472,4.82,105
759,Dupont Circle,3/11/2015,T,1,4,Entire home/apt,9,2 baths,4,4,2,30,4.83,486
760,Union Station,11/27/2013,T,1,30,Entire home/apt,8,2.5 baths,4,3,31,54,4.85,473
761,Foggy Bottom,7/27/2016,F,,1,Entire home/apt,2,1 bath,,1,31,8,5,99
762,Union Station,12/21/2016,F,,6,Entire home/apt,5,1 bath,2,3,31,85,4.46,165
764,Capitol Hill,12/10/2011,T,0.93,5,Entire home/apt,4,1 bath,1,1,31,193,4.94,79
765,Capitol Hill,8/21/2011,T,1,2,Entire home/apt,4,1 bath,2,2,2,156,4.92,205
766,Dupont Circle,5/4/2016,F,,3,Entire home/apt,4,1 bath,1,2,31,3,5,105
767,Union Station,1/15/2009,F,,2,Entire home/apt,4,2 baths,2,2,31,6,5,125
769,Union Station,12/8/2014,T,0.96,1,Entire home/apt,4,1 bath,1,2,1,217,4.8,150
770,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,3,1 bath,1,2,2,251,4.89,128
771,Union Station,3/31/2014,T,0.99,9,Entire home/apt,2,1 bath,1,1,1,176,4.86,157
773,Shaw,6/25/2017,F,,1,Entire home/apt,2,1 bath,,2,45,1,5,107
775,Dupont Circle,6/11/2016,F,,2,Private room,2,1 shared bath,,1,31,3,5,85
778,Dupont Circle,10/12/2016,F,,3,Entire home/apt,2,1 bath,,1,31,1,3,200
780,Capitol Hill,5/10/2015,T,1,2,Entire home/apt,8,3 baths,3,4,3,156,4.98,346
781,Shaw,6/9/2013,F,1,1,Entire home/apt,8,2.5 baths,4,4,31,68,4.47,425
783,Shaw,7/29/2016,T,1,3,Entire home/apt,2,1 bath,1,1,31,248,4.81,75
784,Shaw,8/5/2015,T,1,2,Entire home/apt,6,2 baths,3,3,31,199,4.87,265
785,Union Station,9/24/2012,T,1,2,Private room,4,1 shared bath,,1,1,48,4.98,175
787,Foggy Bottom,1/30/2011,F,,2,Entire home/apt,2,1 bath,1,2,31,18,4.94,130
788,Shaw,12/14/2014,F,,3,Entire home/apt,4,2.5 baths,2,2,31,3,3.67,72
789,Shaw,6/10/2014,F,,1,Entire home/apt,4,2.5 baths,2,2,31,25,4.68,205
790,Union Station,11/16/2013,F,,1,Entire home/apt,4,1 bath,1,1,2,51,4.94,82
793,Union Station,5/11/2015,F,,2,Private room,2,1 private bath,,1,31,3,5,57
795,Union Station,11/8/2016,T,0.95,1,Entire home/apt,4,1.5 baths,2,2,3,141,4.96,212
796,Capitol Hill,9/2/2012,T,1,29,Entire home/apt,8,2 baths,3,3,31,10,4.67,388
797,Georgetown,5/4/2012,T,0.95,7,Entire home/apt,13,3.5 baths,4,5,2,238,4.88,479
801,Shaw,4/23/2013,F,,1,Entire home/apt,6,1 bath,1,1,1,573,4.84,179
802,Capitol Hill,1/6/2015,T,1,1,Entire home/apt,3,1 bath,1,1,2,306,5,155
803,Capitol Hill,12/14/2015,T,0.98,1,Entire home/apt,4,1 bath,2,4,1,446,4.86,168
805,Dupont Circle,8/1/2017,F,1,2,Entire home/apt,5,1 bath,2,4,2,238,4.65,219
806,Union Station,11/27/2012,F,,1,Entire home/apt,6,2 baths,2,2,31,16,4.88,73
807,Capitol Hill,8/2/2017,F,0.94,1,Entire home/apt,6,2.5 baths,3,3,2,312,4.87,281
810,Union Station,3/31/2014,T,0.99,9,Entire home/apt,2,1 bath,1,1,1,183,4.78,159
812,Union Station,12/3/2014,F,0.95,1,Entire home/apt,6,2 baths,3,3,3,36,4.77,250
816,Capitol Hill,12/19/2013,F,,4,Entire home/apt,4,1 bath,1,1,4,36,5,145
817,Capitol Hill,8/7/2017,T,1,1,Entire home/apt,4,1 bath,1,1,3,89,4.83,136
819,Dupont Circle,3/11/2015,T,1,4,Entire home/apt,7,1 bath,2,4,1,231,4.76,230
824,Capitol Hill,5/18/2009,F,0.99,164,Entire home/apt,6,3.5 baths,2,5,31,12,4.42,54
825,Foggy Bottom,6/24/2011,T,0.99,6,Entire home/apt,2,1 bath,2,2,90,6,5,80
827,Union Station,8/22/2017,T,1,3,Entire home/apt,5,2.5 baths,2,4,31,191,4.95,151
829,Dupont Circle,8/21/2017,F,1,1,Entire home/apt,4,1 bath,1,1,31,70,4.8,115
830,Union Station,8/1/2013,F,,4,Entire home/apt,9,2.5 baths,4,4,31,73,4.96,250
831,Capitol Hill,8/18/2017,F,0.76,51,Shared room,6,1 shared bath,,6,1,15,4.4,35
833,Capitol Hill,8/18/2017,F,0.76,51,Shared room,6,1 shared bath,,6,1,28,4.54,31
834,Capitol Hill,9/19/2016,F,0,2,Entire home/apt,4,1 bath,1,1,31,2,5,100
836,Capitol Hill,9/1/2017,T,1,2,Entire home/apt,2,1 bath,1,2,2,224,4.93,144
837,Capitol Hill,1/10/2016,T,1,10,Entire home/apt,2,1 bath,1,1,2,183,4.68,152
838,Union Station,1/10/2016,T,1,10,Entire home/apt,6,1 bath,2,2,2,106,4.74,189
841,Dupont Circle,3/2/2013,F,,2,Private room,2,1 shared bath,1,1,31,4,4.75,62
843,Capitol Hill,9/7/2017,F,,1,Entire home/apt,8,4 baths,4,4,31,102,4.79,400
844,Union Station,8/21/2012,F,0.99,223,Entire home/apt,6,2 baths,2,3,31,123,4.67,216
845,Union Station,8/21/2012,F,0.99,223,Entire home/apt,6,2 baths,2,3,31,138,4.69,228
846,Union Station,8/21/2012,F,0.99,223,Entire home/apt,6,2 baths,2,3,31,71,4.56,228
847,Union Station,8/21/2012,F,0.99,223,Entire home/apt,6,2 baths,2,3,31,118,4.5,216
849,Shaw,8/4/2015,F,0.25,86,Entire home/apt,3,1 bath,1,1,31,5,4.8,169
851,Union Station,1/10/2016,T,1,10,Entire home/apt,2,1 bath,1,1,2,104,4.59,134
857,Foggy Bottom,2/20/2014,F,1,3,Entire home/apt,4,1 bath,2,3,4,208,4.79,209
858,Shaw,8/16/2012,T,1,1,Entire home/apt,3,1 bath,1,2,3,86,4.92,187
859,Union Station,3/7/2016,T,1,3,Entire home/apt,4,1 bath,1,2,3,249,4.86,129
860,Dupont Circle,11/12/2015,F,,5,Entire home/apt,3,1 bath,1,1,31,3,5,175
861,Capitol Hill,8/20/2014,T,1,1,Entire home/apt,2,1 bath,1,1,2,284,4.99,131
863,Georgetown,10/15/2015,T,0.98,284,Entire home/apt,5,1 bath,2,4,3,95,4.67,268
865,Shaw,11/29/2012,F,0.95,10,Entire home/apt,4,1 bath,2,2,31,54,4.56,150
868,Dupont Circle,12/31/2015,T,1,1,Entire home/apt,4,1 bath,2,2,2,228,4.96,279
870,Shaw,11/16/2012,F,,3,Entire home/apt,9,3 baths,4,4,31,66,4.89,350
871,Union Station,2/3/2015,T,1,1,Entire home/apt,2,1 bath,1,2,31,265,4.99,105
872,Capitol Hill,8/18/2017,F,0.76,51,Private room,4,1 private bath,1,4,1,16,4.38,107
873,Capitol Hill,8/18/2017,F,0.76,51,Shared room,6,1 shared bath,,6,1,49,4.53,25
874,Foggy Bottom,3/5/2015,T,0.73,6,Entire home/apt,4,1 bath,1,2,31,175,4.91,110
876,Capitol Hill,4/4/2014,F,,3,Entire home/apt,3,1 bath,2,2,31,2,5,80
878,Foggy Bottom,9/15/2017,F,1,1,Entire home/apt,5,1 bath,2,3,31,191,4.68,130
879,Shaw,8/22/2011,T,0.89,1,Entire home/apt,4,1 bath,2,2,2,144,4.88,99
880,Shaw,7/19/2016,F,,9,Entire home/apt,4,1 bath,2,2,31,146,4.86,150
881,Shaw,10/31/2017,F,,2,Entire home/apt,3,1 bath,2,2,31,118,4.43,109
883,Foggy Bottom,9/4/2012,F,0.78,6,Entire home/apt,4,1 bath,,2,31,107,4.8,73
884,Capitol Hill,2/13/2016,F,,2,Private room,2,1 private bath,1,1,31,18,4.56,60
885,Dupont Circle,12/17/2015,F,1,1,Entire home/apt,4,1 bath,1,2,365,144,4.94,120
890,Union Station,6/1/2015,F,,3,Private room,2,1 private bath,1,1,31,2,5,150
891,Capitol Hill,4/13/2017,T,0.8,5,Entire home/apt,2,1 bath,1,1,31,74,4.93,58
893,Capitol Hill,11/16/2015,T,0.99,3,Entire home/apt,8,3.5 baths,3,4,3,163,4.91,503
895,Union Station,10/29/2012,T,0.91,1,Entire home/apt,4,1.5 baths,2,2,2,25,4.84,198
903,Union Station,7/7/2014,T,0.99,2,Entire home/apt,2,1 bath,,1,2,319,4.92,119
904,Capitol Hill,9/11/2015,F,,1,Entire home/apt,3,1 bath,,1,31,55,4.96,79
907,Union Station,7/17/2017,F,1,5,Entire home/apt,5,1 bath,2,3,2,254,4.78,188
908,Capitol Hill,2/5/2013,F,0.95,6,Entire home/apt,2,1 bath,,1,2,34,4.94,87
913,Union Station,1/16/2015,T,1,3,Private room,2,1 private bath,1,1,1,372,4.94,130
914,Capitol Hill,7/2/2013,F,,1,Entire home/apt,4,1 bath,,2,31,72,4.9,65
917,Union Station,8/23/2017,F,1,1,Entire home/apt,3,1 bath,,2,1,14,5,102
918,Capitol Hill,4/13/2017,T,0.8,5,Entire home/apt,4,1 bath,2,1,31,52,4.88,225
920,Union Station,1/3/2018,F,,1,Entire home/apt,5,1 bath,2,2,31,6,5,130
922,Shaw,1/4/2018,T,0.95,1,Entire home/apt,3,1 bath,,2,2,349,4.95,158
932,Capitol Hill,8/18/2017,F,0.76,51,Shared room,5,1 shared bath,,6,1,14,4.14,33
933,Capitol Hill,8/18/2017,F,0.76,51,Shared room,4,1 shared bath,,6,1,47,4.28,30
934,Shaw,1/11/2018,T,0.98,1,Entire home/apt,3,1 bath,1,2,3,165,4.99,194
936,Shaw,7/27/2015,T,1,2,Entire home/apt,4,1 bath,1,2,1,383,4.9,148
938,Union Station,1/13/2018,F,0.96,1,Entire home/apt,4,1 bath,1,2,2,78,4.95,130
941,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,2,30,36,4.81,299
942,Capitol Hill,9/6/2012,F,0.9,1,Entire home/apt,3,1 bath,1,1,2,153,4.82,150
943,Union Station,1/19/2018,T,1,1,Entire home/apt,8,2.5 baths,3,4,3,159,4.94,459
947,Foggy Bottom,1/29/2018,F,,1,Entire home/apt,3,1 bath,,2,180,25,4.44,157
948,Shaw,10/28/2013,T,0.99,16,Entire home/apt,4,1 bath,2,2,31,138,4.9,104
949,Dupont Circle,4/1/2013,F,,2,Entire home/apt,3,1 bath,1,1,31,87,4.94,125
950,Shaw,1/28/2018,F,0.99,1,Entire home/apt,4,1 bath,2,2,1,311,4.42,150
952,Union Station,10/2/2011,T,1,1,Entire home/apt,4,1 bath,,2,2,240,4.78,77
955,Shaw,8/7/2014,T,1,1,Entire home/apt,4,1 bath,,1,2,227,4.7,105
957,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,1,241,4.63,147
960,Capitol Hill,5/23/2014,F,,1,Entire home/apt,6,2.5 baths,2,3,31,14,4.92,140
961,Dupont Circle,9/8/2014,T,0.97,10,Entire home/apt,1,1 bath,,1,182,1,5,70
965,Shaw,5/5/2016,F,1,3,Entire home/apt,3,1 bath,1,2,3,238,4.88,132
969,Union Station,3/15/2016,T,1,2,Entire home/apt,3,1 bath,1,2,1,287,4.91,109
971,Union Station,3/14/2018,T,0.98,1,Entire home/apt,4,1 bath,1,2,2,304,4.85,160
976,Shaw,10/14/2013,F,,1,Entire home/apt,2,1 bath,1,1,31,4,5,90
977,Dupont Circle,8/1/2015,F,,5,Entire home/apt,2,1 bath,,1,31,20,4.95,68
980,Shaw,11/3/2015,F,0,2,Entire home/apt,2,1 bath,,1,31,26,4.68,75
984,Union Station,6/11/2016,T,0.99,2,Entire home/apt,6,1 bath,1,3,1,330,4.9,115
987,Union Station,4/2/2018,F,1,10,Entire home/apt,4,1 bath,1,2,31,170,4.73,125
988,Union Station,3/12/2014,T,1,1,Entire home/apt,2,1 bath,,1,2,106,5,124
989,Shaw,4/6/2018,F,0.83,11,Entire home/apt,4,1 bath,2,2,31,82,4.73,105
990,Foggy Bottom,4/10/2016,F,,1,Entire home/apt,1,1 bath,1,1,180,2,5,75
994,Dupont Circle,5/31/2016,F,,1,Entire home/apt,2,1 bath,1,1,31,1,5,135
995,Shaw,7/27/2015,T,1,2,Entire home/apt,5,1 bath,1,2,1,315,4.89,140
1000,Foggy Bottom,9/17/2014,T,1,2,Entire home/apt,3,1.5 baths,1,1,31,46,4.93,171
1001,Shaw,6/19/2013,T,0.99,1,Entire home/apt,2,1 bath,1,1,2,395,4.95,142
1005,Union Station,4/10/2014,F,0,2,Entire home/apt,4,2.5 baths,2,2,31,2,5,172
1008,Dupont Circle,4/28/2018,T,1,1,Entire home/apt,2,2 baths,2,2,31,67,4.99,140
1014,Capitol Hill,5/1/2018,T,1,1,Entire home/apt,4,1 bath,1,1,1,370,4.78,134
1016,Capitol Hill,4/18/2015,F,0.75,7,Entire home/apt,4,2.5 baths,2,2,31,99,4.94,189
1017,Georgetown,10/6/2014,F,1,4,Entire home/apt,6,1 bath,3,4,30,74,4.68,258
1018,Shaw,5/21/2012,F,0.97,5,Entire home/apt,6,2 baths,2,3,3,112,4.46,300
1020,Capitol Hill,5/14/2018,F,0.99,4,Entire home/apt,10,3 baths,5,5,2,182,4.82,792
1021,Capitol Hill,8/6/2013,T,0.99,1,Entire home/apt,2,1 bath,,1,3,288,4.99,80
1023,Dupont Circle,3/5/2015,T,0.73,6,Entire home/apt,4,1 bath,1,2,31,137,4.82,110
1029,Union Station,6/1/2014,T,0.98,2,Entire home/apt,4,1 bath,1,2,2,280,4.84,181
1031,Capitol Hill,3/25/2017,T,1,2,Entire home/apt,5,1 bath,2,3,31,61,4.57,150
1032,Shaw,8/15/2016,T,0.99,5,Entire home/apt,8,2.5 baths,3,5,3,147,4.93,450
1035,Capitol Hill,8/18/2017,F,0.76,51,Shared room,1,1 shared bath,,1,1,66,4.56,29
1036,Capitol Hill,8/18/2017,F,0.76,51,Shared room,6,1 shared bath,,6,1,14,4.43,29
